date,daily_sales
2017-07-14,25719.85
2017-07-15,16145.24
2017-07-16,23846.19
2017-07-17,33602.58
2017-07-18,41589.82
2017-07-19,29295.95
2017-07-20,30100.94
2017-07-21,26111.12
2017-07-22,17717.670000000002
2017-07-23,14668.38
2017-07-24,28457.34
2017-07-25,26576.32
2017-07-26,19084.73
2017-07-27,23440.4
2017-07-28,32020.53
2017-07-29,22804.21
2017-07-30,19010.13
2017-07-31,24407.27
2017-08-01,34583.8
2017-08-02,26581.37
2017-08-03,25898.66
2017-08-04,26443.78
2017-08-05,16276.12
2017-08-06,20859.36
2017-08-07,33104.27
2017-08-08,25051.65
2017-08-09,33328.56
2017-08-10,29122.11
2017-08-11,29329.69
2017-08-12,21172.71
2017-08-13,19694.46
2017-08-14,25985.079999999998
2017-08-15,33967.26
2017-08-16,38644.909999999996
2017-08-17,25698.98
2017-08-18,23528.46
2017-08-19,19646.26
2017-08-20,17907.53
2017-08-21,36254.15
2017-08-22,24101.97
2017-08-23,74614.45
2017-08-24,18893.41
2017-08-25,20201.6
2017-08-26,13289.59
2017-08-27,21327.56
2017-08-28,30423.01
2017-08-29,41954.18
2017-08-30,39286.61
2017-08-31,30855.489999999998
2017-09-01,38766.03
2017-09-02,24897.9
2017-09-03,43985.95
2017-09-04,31781.23
2017-09-05,32031.04
2017-09-06,34408.37
2017-09-07,22057.34
2017-09-08,20957.9
2017-09-09,22247.08
2017-09-10,24492.1
2017-09-11,30655.260000000002
2017-09-12,60925.439999999995
2017-09-13,37461.93
2017-09-14,34522.06
2017-09-15,24704.31
2017-09-16,26118.93
2017-09-17,25075.85
2017-09-18,45569.9
2017-09-19,31960.170000000002
2017-09-20,30459.09
2017-09-21,27869.16
2017-09-22,29260.19
2017-09-23,15421.96
2017-09-24,20102.35
2017-09-25,26227.75
2017-09-26,28574.6
2017-09-27,35526.28
2017-09-28,39956.83
2017-09-29,139807.59
2017-09-30,17071.46
2017-10-01,26431.4
2017-10-02,47835.24
2017-10-03,34509.83
2017-10-04,28411.53
2017-10-05,55843.41
2017-10-06,26854.26
2017-10-07,22739.18
2017-10-08,23216.07
2017-10-09,45037.54
2017-10-10,36478.77
