date,daily_sales
2017-07-14,18549.19
2017-07-15,11380.58
2017-07-16,18030.9
2017-07-17,26554.21
2017-07-18,23387.53
2017-07-19,16945.74
2017-07-20,19478.64
2017-07-21,12716.23
2017-07-22,11686.630000000001
2017-07-23,11744.03
2017-07-24,18963.5
2017-07-25,17235.73
2017-07-26,16426.32
2017-07-27,14005.68
2017-07-28,18279.99
2017-07-29,14468.5
2017-07-30,14149.09
2017-07-31,19667.31
2017-08-01,21781.02
2017-08-02,17413.15
2017-08-03,18588.69
2017-08-04,21167.29
2017-08-05,12001.14
2017-08-06,14754.46
2017-08-07,20646.75
2017-08-08,18167.06
2017-08-09,15315.39
2017-08-10,20418.56
2017-08-11,19446.7
2017-08-12,11816.48
2017-08-13,11766.75
2017-08-14,19803.15
2017-08-15,25184.8
2017-08-16,22276.32
2017-08-17,18160.56
2017-08-18,15782.07
2017-08-19,12913.11
2017-08-20,11425.14
2017-08-21,26505.69
2017-08-22,17514.19
2017-08-23,15316.76
2017-08-24,16634.07
2017-08-25,14575.05
2017-08-26,10840.75
2017-08-27,14307.86
2017-08-28,17873.99
2017-08-29,16249.119999999999
2017-08-30,22043.77
2017-08-31,20228.17
2017-09-01,22208.420000000002
2017-09-02,12765.630000000001
2017-09-03,15591.88
2017-09-04,19323.02
2017-09-05,23171.92
2017-09-06,17494.08
2017-09-07,9918.869999999999
2017-09-08,14506.83
2017-09-09,12172.55
2017-09-10,17824.06
2017-09-11,21448.03
2017-09-12,26243.34
2017-09-13,24561.47
2017-09-14,24575.2
2017-09-15,18340.68
2017-09-16,17415.72
2017-09-17,16510.52
2017-09-18,26053.76
2017-09-19,20632.58
2017-09-20,22075.51
2017-09-21,22592.45
2017-09-22,16520.09
2017-09-23,11856.44
2017-09-24,14963.97
2017-09-25,17560.25
2017-09-26,22778.64
2017-09-27,19410.53
2017-09-28,18105.84
2017-09-29,11803.43
2017-09-30,13027.39
2017-10-01,16519.83
2017-10-02,17988.36
2017-10-03,25234.11
2017-10-04,18491.06
2017-10-05,16918.46
2017-10-06,17224.18
2017-10-07,13513.01
